,ID,niveau_scolaire,type_texte,session,redacteur,debut_burst,duree_burst,duree_pause,duree_cycle,pct_burst,pct_pause,longueur_burst,burst,startPos,endPos,docLength,categ,cluster
433,P01CM2N1,CM2,narratif,0.0,7.0,968.033,24.492,8.502,32.994,0.742316785,0.257683215,17.0,t l'ensségniant a,316.0,333.0,333.0,P,0
434,P01CM2N1,CM2,narratif,0.0,7.0,998.531,8.112,6.006,14.118,0.574585635,0.425414365,9.0,s appeler,333.0,342.0,342.0,P,1
435,P01CM2N1,CM2,narratif,0.0,7.0,1013.492,13.962,6.849,20.811,0.6708952,0.3291048,13.0, les pompier ,342.0,324.0,355.0,P,3
437,P01CM2N1,CM2,narratif,0.0,7.0,1041.182,13.463,7.582,21.045,0.6397244,0.3602756,16.0,moi et mes amie ,354.0,354.0,370.0,P,3
438,P01CM2N1,CM2,narratif,0.0,7.0,1069.512,4.695,14.867,19.562,0.240006134,0.759993866,7.0,et mois,363.0,370.0,370.0,RB,3
440,P01CM2N1,CM2,narratif,0.0,7.0,1089.277,1.841,8.377,10.218,0.180172245,0.819827755,4.0,ons ,371.0,373.0,375.0,RB,1
441,P01CM2N1,CM2,narratif,0.0,7.0,1098.965,8.205,7.847,16.052,0.511151258,0.488848742,5.0, cour,373.0,378.0,378.0,RB,3
442,P01CM2N1,CM2,narratif,0.0,7.0,1114.627,8.284,7.457,15.741,0.526268979,0.473731021,6.0,u pour,378.0,384.0,384.0,RB,3
443,P01CM2N1,CM2,narratif,0.0,7.0,1134.424,23.446,11.513,34.959,0.670671358,0.329328642,25.0, voir se quil se pessé et,384.0,409.0,409.0,RB,0
444,P01CM2N1,CM2,narratif,0.0,7.0,1162.239,26.442,4.369,30.811,0.858199994,0.141800006,11.0, Jalalédine,409.0,420.0,420.0,RB,0
445,P01CM2N1,CM2,narratif,0.0,7.0,1195.81,2.839,7.129,9.968,0.284811396,0.715188604,4.0, ple,420.0,424.0,424.0,RB,1
446,P01CM2N1,CM2,narratif,0.0,7.0,1203.314,5.475,4.665,10.14,0.539940828,0.460059172,4.0,urer,424.0,428.0,428.0,RB,1
447,P01CM2N1,CM2,narratif,0.0,7.0,1214.14,3.619,5.351,8.97,0.403455964,0.596544036,2.0, e,428.0,430.0,430.0,RB,1
448,P01CM2N1,CM2,narratif,0.0,7.0,1221.94,9.813,4.181,13.994,0.701229098,0.298770902,8.0,st les p,430.0,438.0,438.0,RB,3
449,P01CM2N1,CM2,narratif,0.0,7.0,1237.415,4.524,5.662,10.186,0.444139014,0.555860986,7.0,ompier ,438.0,445.0,445.0,RB,1
450,P01CM2N1,CM2,narratif,0.0,7.0,1245.855,17.987,3.916,21.903,0.821211706,0.178788294,6.0,été la,445.0,451.0,451.0,RB,3
451,P01CM2N1,CM2,narratif,0.0,7.0,1268.319,0.109,4.477,4.586,0.02376799,0.97623201,1.0,.,451.0,354.0,452.0,RB,1
452,P01CM2N1,CM2,narratif,0.0,7.0,1279.536,6.099,11.108,17.207,0.354448771,0.645551229,5.0,deux ,354.0,359.0,457.0,R,3
454,P01CM2N1,CM2,narratif,0.0,7.0,1299.27,9.547,4.306,13.853,0.689164802,0.310835198,6.0, deux ,354.0,458.0,458.0,R,3
455,P01CM2N1,CM2,narratif,0.0,7.0,1314.776,0.671,5.959,6.63,0.101206637,0.898793363,2.0,je,458.0,460.0,460.0,RB,1
457,P01CM2N1,CM2,narratif,0.0,7.0,1327.849,0.078,3.915,3.993,0.019534185,0.980465815,1.0,o,459.0,460.0,460.0,RB,1
458,P01CM2N1,CM2,narratif,0.0,7.0,1335.602,21.014,7.675,28.689,0.732475862,0.267524138,22.0,ur aprés il est revenu,460.0,482.0,482.0,RB,3
459,P01CM2N1,CM2,narratif,0.0,7.0,1361.686,0.171,5.07,5.241,0.032627361,0.967372639,1.0,a,482.0,483.0,483.0,RB,1
460,P01CM2N1,CM2,narratif,0.0,7.0,1368.16,2.465,6.303,8.768,0.281135949,0.718864051,2.0, a,483.0,484.0,484.0,RB,1
461,P01CM2N1,CM2,narratif,0.0,7.0,1375.289,11.544,4.664,16.208,0.712240869,0.287759131,8.0,vec un r,484.0,492.0,492.0,RB,3
462,P01CM2N1,CM2,narratif,0.0,7.0,1390.905,7.55,4.072,11.622,0.649630012,0.350369988,5.0,ubans,492.0,497.0,497.0,RB,1
463,P01CM2N1,CM2,narratif,0.0,7.0,1404.461,0.078,6.006,6.084,0.012820513,0.987179487,1.0,.,497.0,498.0,498.0,RB,1
465,P01CM2N1,CM2,narratif,0.0,7.0,1427.425,37.284,3.854,41.138,0.906315329,0.093684671,23.0,L'autre jours mons gran,498.0,521.0,521.0,RB,0
466,P01CM2N1,CM2,narratif,0.0,7.0,1469.701,0.343,4.992,5.335,0.064292409,0.935707591,2.0,s ,521.0,523.0,523.0,RB,1
467,P01CM2N1,CM2,narratif,0.0,7.0,1474.272,3.198,4.228,7.426,0.430649071,0.569350929,5.0,frère,523.0,528.0,528.0,RB,1
468,P01CM2N1,CM2,narratif,0.0,7.0,1483.71,5.195,6.24,11.435,0.454306952,0.545693048,3.0, m',528.0,531.0,531.0,RB,1
469,P01CM2N1,CM2,narratif,0.0,7.0,1493.132,3.807,4.227,8.034,0.47386109,0.52613891,5.0,a dit,531.0,536.0,536.0,RB,1
470,P01CM2N1,CM2,narratif,0.0,7.0,1500.87,23.525,3.931,27.456,0.856825466,0.143174534,13.0, que c'était ,536.0,549.0,549.0,RB,3
471,P01CM2N1,CM2,narratif,0.0,7.0,1528.685,13.806,4.29,18.096,0.762931034,0.237068966,11.0,son copain ,549.0,560.0,560.0,RB,3
472,P01CM2N1,CM2,narratif,0.0,7.0,1552.771,0.078,10.28,10.358,0.007530411,0.992469589,1.0,a,560.0,561.0,561.0,RB,1
473,P01CM2N1,CM2,narratif,0.0,7.0,1557.857,7.972,5.008,12.98,0.614175655,0.385824345,7.0,s vu Ja,561.0,528.0,568.0,RB,1
474,P01CM2N1,CM2,narratif,0.0,7.0,1578.215,0.125,12.386,12.511,0.009991208,0.990008792,1.0,(,528.0,529.0,569.0,RB,1
475,P01CM2N1,CM2,narratif,0.0,7.0,1586.468,26.66,8.128,34.788,0.766356215,0.233643785,20.0,un pompier)laledine ,529.0,589.0,589.0,RB,0
